ProductKey,SKU,Product,StandardCost,Color,ListPrice,Model,Subcategory,Category
210,FR-R92B-58,"HL Road Frame - Black, 58"," $868,63 ",Black," $1.431,50 ",HL Road Frame,Road Frames,Components
211,FR-R92R-58,"HL Road Frame - Red, 58"," $868,63 ",Red," $1.431,50 ",HL Road Frame,Road Frames,Components
212,HL-U509-R,"Sport-100 Helmet, Red"," $12,03 ",Red," $33,64 ",Sport-100,Helmets,Accessories
213,HL-U509-R,"Sport-100 Helmet, Red"," $13,88 ",Red," $33,64 ",Sport-100,Helmets,Accessories
214,HL-U509-R,"Sport-100 Helmet, Red"," $13,09 ",Red," $34,99 ",Sport-100,Helmets,Accessories
215,HL-U509,"Sport-100 Helmet, Black"," $12,03 ",Black," $33,64 ",Sport-100,Helmets,Accessories
216,HL-U509,"Sport-100 Helmet, Black"," $13,88 ",Black," $33,64 ",Sport-100,Helmets,Accessories
217,HL-U509,"Sport-100 Helmet, Black"," $13,09 ",Black," $34,99 ",Sport-100,Helmets,Accessories
218,SO-B909-M,"Mountain Bike Socks, M"," $3,40 ",White," $9,50 ",Mountain Bike Socks,Socks,Clothing
219,SO-B909-L,"Mountain Bike Socks, L"," $3,40 ",White," $9,50 ",Mountain Bike Socks,Socks,Clothing
220,HL-U509-B,"Sport-100 Helmet, Blue"," $12,03 ",Blue," $33,64 ",Sport-100,Helmets,Accessories
221,HL-U509-B,"Sport-100 Helmet, Blue"," $13,88 ",Blue," $33,64 ",Sport-100,Helmets,Accessories
222,HL-U509-B,"Sport-100 Helmet, Blue"," $13,09 ",Blue," $34,99 ",Sport-100,Helmets,Accessories
223,CA-1098,AWC Logo," $6,81",Multi," $8,64 ",Cycling Cap,Caps,Clothing
224,CA-1098,AWC Logo," $5,23 ",Multi," $8,64 ",Cycling Cap,Caps,Clothing
225,CA-1098,AWC Logo," $6,92 ",Multi," $8,99 ",Cycling Cap,Caps,Clothing
226,LJ-0192-S,"Long-Sleeve Logo Jersey, S"," $31,72 ",Multi," $48,07 ",Long-Sleeve Logo Jersey,Jerseys,Clothing
227,LJ-0192-S,"Long-Sleeve Logo Jersey, S"," $29,08 ",Multi," $48,07 ",Long-Sleeve Logo Jersey,Jerseys,Clothing
228,LJ-0192-S,"Long-Sleeve Logo Jersey, S"," $38,49 ",Multi," $49,99 ",Long-Sleeve Logo Jersey,Jerseys,Clothing
229,LJ-0192-M,"Long-Sleeve Logo Jersey, M"," $31,72 ",Multi," $48,07 ",Long-Sleeve Logo Jersey,Jerseys,Clothing
230,LJ-0192-M,"Long-Sleeve Logo Jersey, M"," $29,08 ",Multi," $48,07 ",Long-Sleeve Logo Jersey,Jerseys,Clothing
231,LJ-0192-M,"Long-Sleeve Logo Jersey, M"," $38,49 ",Multi," $50,99 ",Long-Sleeve Logo Jersey,Jerseys,Clothing
232,LJ-0192-L,"Long-Sleeve Logo Jersey, L"," $31,72 ",Multi," $48,07 ",Long-Sleeve Logo Jersey,Jerseys,Clothing
233,LJ-0192-L,"Long-Sleeve Logo Jersey, L"," $29,08 ",Multi," $48,07 ",Long-Sleeve Logo Jersey,Jerseys,Clothing
234,LJ-0192-L,"Long-Sleeve Logo Jersey, L"," $36,49 ",Multi," $49,99 ",Long-Sleeve Logo Jersey,Jerseys,Clothing
235,LJ-0192-X,"Long-Sleeve Logo Jersey, XL"," $31,72 ",Multi," $48,07 ",Long-Sleeve Logo Jersey,Jerseys,Clothing
236,LJ-0192-X,"Long-Sleeve Logo Jersey, XL"," $29,08 ",Multi," $48,07 ",Long-Sleeve Logo Jersey,Jerseys,Clothing
237,LJ-0192-X,"Long-Sleeve Logo Jersey, XL"," $38,49 ",Multi," $49,99 ",Long-Sleeve Logo Jersey,Jerseys,Clothing
